turn_index,at_point,turn_deg,cards
0,1,30.018367428,7
1,2,10.548065418,3
2,3,13.190610712,3
3,4,4.763641691,1
4,5,12.094757077,3
5,6,12.094757077,3
6,7,3.366460663,1
7,8,13.671307132,3
8,9,0.000000000,0
9,10,12.907408671,3
10,11,12.907408671,3
11,12,0.000000000,0
12,13,13.671307132,3
13,14,3.366460663,1
14,15,12.094757077,3
15,16,12.094757077,3
16,17,4.763641691,1
17,18,13.190610712,3
18,19,11.029531224,3
19,20,11.575188817,3
20,21,1.847610266,1
21,22,27.029971934,6
