point_index,x,y,nearest_green_label
0,-10.000000000,5.773502692,1-6
1,-17.300000000,11.573502692,2-17
2,-22.100000000,21.773502692,2-16
3,-28.100000000,30.473502692,3-27
4,-32.000000000,38.873502692,3-26
5,-33.200000000,40.673502692,3-26
6,-37.500000000,46.773502692,4-37
7,-42.200000000,56.573502692,4-36
8,-48.200000000,65.273502692,5-47
9,-50.000000000,69.173502692,5-47
10,-52.400000000,74.273502692,5-46
11,-54.500000000,77.273502692,5-46
12,-56.600000000,80.273502692,6-57
13,-58.000000000,82.273502692,6-57
14,-62.300000000,91.373502692,6-56
15,-67.500000000,98.773502692,7-67
16,-68.500000000,100.773502692,7-67
17,-72.000000000,108.273502692,7-66
18,-75.500000000,113.273502692,8-77
19,-77.600000000,116.273502692,8-77
20,-81.500000000,124.373502692,8-76
21,-82.400000000,126.173502692,8-76
22,-88.400000000,134.873502692,9-87
23,-88.700000000,135.773502692,9-87
24,-90.000000000,144.337567297,9-86
