precision,method,source_file,point_index,x,y,nearest_green_label,nearest_layer,turn_deg,cards_at_point
1.0m,full,labeled_corridor_result_g1.json,13,-58.0,81.77350269189625,6-57,6,13.671307132195835,3
1.0m,full,labeled_corridor_result_g1.json,14,-61.0,88.77350269189625,6-56,6,3.366460663429933,1
1.0m,full,labeled_corridor_result_g1.json,15,-63.0,92.77350269189625,6-56,6,12.094757077012105,3
1.0m,full,labeled_corridor_result_g1.json,16,-67.0,97.77350269189625,7-67,7,12.094757077012105,3
1.0m,full,labeled_corridor_result_g1.json,17,-69.0,101.77350269189625,7-67,7,4.763641690726217,1
1.0m,full,labeled_corridor_result_g1.json,18,-71.0,106.77350269189625,7-66,7,13.190610712206848,3
1.0m,full,labeled_corridor_result_g1.json,19,-78.0,116.77350269189625,8-77,8,11.029531223980428,3
1.0m,full,labeled_corridor_result_g1.json,20,-82.0,125.77350269189625,8-76,8,11.575188817396139,3
1.0m,full,labeled_corridor_result_g1.json,21,-87.0,132.77350269189625,9-87,9,1.84761026599449,1
1.0m,full,labeled_corridor_result_g1.json,22,-89.0,135.77350269189625,9-87,9,27.02997193396547,6
1.0m,full,labeled_corridor_result_g1.json,23,-90.0,144.33756729740642,9-86,9,,
0.5m,full,labeled_corridor_result_g0p5.json,0,-10.0,5.773502691896257,1-6,1,,
0.5m,full,labeled_corridor_result_g0p5.json,1,-17.5,11.773502691896258,2-17,2,28.96005669395032,6
0.5m,full,labeled_corridor_result_g0p5.json,2,-21.0,20.273502691896258,2-16,2,12.611885146599036,3
0.5m,full,labeled_corridor_result_g0p5.json,3,-24.5,25.273502691896258,2-16,2,0.0,0
0.5m,full,labeled_corridor_result_g0p5.json,4,-28.0,30.273502691896258,3-27,3,9.975126720458576,2
0.5m,full,labeled_corridor_result_g0p5.json,5,-31.5,37.773502691896255,3-26,3,1.548157698977974,1
0.5m,full,labeled_corridor_result_g0p5.json,6,-32.5,39.773502691896255,3-26,3,8.972626614896427,2
0.5m,full,labeled_corridor_result_g0p5.json,7,-35.0,43.273502691896255,3-26,3,0.0,0
0.5m,full,labeled_corridor_result_g0p5.json,8,-37.5,46.773502691896255,4-37,4,8.972626614896427,2
0.5m,full,labeled_corridor_result_g0p5.json,9,-38.5,48.773502691896255,4-37,4,1.548157698977974,1
0.5m,full,labeled_corridor_result_g0p5.json,10,-42.0,56.273502691896255,4-36,4,9.678260053133897,2
0.5m,full,labeled_corridor_result_g0p5.json,11,-46.5,62.773502691896255,5-47,5,1.0050860052541566,1
0.5m,full,labeled_corridor_result_g0p5.json,12,-48.5,65.77350269189625,5-47,5,9.727578551401592,2
0.5m,full,labeled_corridor_result_g0p5.json,13,-50.5,70.27350269189625,5-46,5,0.0,0
0.5m,full,labeled_corridor_result_g0p5.json,14,-52.5,74.77350269189625,5-46,5,12.29134876286659,3
0.5m,full,labeled_corridor_result_g0p5.json,15,-58.0,82.27350269189625,6-57,6,11.236944259344796,3
0.5m,full,labeled_corridor_result_g0p5.json,16,-61.5,89.77350269189625,6-56,6,1.548157698977974,1
0.5m,full,labeled_corridor_result_g0p5.json,17,-62.5,91.77350269189625,6-56,6,8.972626614896427,2
0.5m,full,labeled_corridor_result_g0p5.json,18,-65.0,95.27350269189625,7-67,7,0.0,0
0.5m,full,labeled_corridor_result_g0p5.json,19,-67.5,98.77350269189625,7-67,7,8.972626614896427,2
0.5m,full,labeled_corridor_result_g0p5.json,20,-68.5,100.77350269189625,7-67,7,1.548157698977974,1
0.5m,full,labeled_corridor_result_g0p5.json,21,-72.0,108.27350269189625,7-66,7,9.975126720458604,2
0.5m,full,labeled_corridor_result_g0p5.json,22,-75.5,113.27350269189625,8-77,8,0.0,0
0.5m,full,labeled_corridor_result_g0p5.json,23,-79.0,118.27350269189625,8-77,8,13.954509173136842,3
0.5m,full,labeled_corridor_result_g0p5.json,24,-81.5,124.77350269189625,8-76,8,13.342833698422993,3
0.5m,full,labeled_corridor_result_g0p5.json,25,-88.0,134.27350269189625,9-87,9,12.578935237493027,3
0.5m,full,labeled_corridor_result_g0p5.json,26,-89.0,136.77350269189625,9-87,9,14.270348296817076,3
0.5m,full,labeled_corridor_result_g0p5.json,27,-90.0,144.33756729740642,9-86,9,,
0.5m,refined,labeled_corridor_result_refined_g0p5.json,0,-10.0,5.773502691896257,1-6,1,,
0.5m,refined,labeled_corridor_result_refined_g0p5.json,1,-17.5,11.773502691896258,2-17,2,28.96005669395032,6
0.5m,refined,labeled_corridor_result_refined_g0p5.json,2,-21.0,20.273502691896258,2-16,2,12.611885146599036,3
0.5m,refined,labeled_corridor_result_refined_g0p5.json,3,-24.5,25.273502691896258,2-16,2,0.0,0
0.5m,refined,labeled_corridor_result_refined_g0p5.json,4,-28.0,30.273502691896258,3-27,3,9.975126720458576,2
0.5m,refined,labeled_corridor_result_refined_g0p5.json,5,-31.5,37.773502691896255,3-26,3,1.548157698977974,1
0.5m,refined,labeled_corridor_result_refined_g0p5.json,6,-32.5,39.773502691896255,3-26,3,8.972626614896427,2
0.5m,refined,labeled_corridor_result_refined_g0p5.json,7,-35.0,43.273502691896255,3-26,3,0.0,0
0.5m,refined,labeled_corridor_result_refined_g0p5.json,8,-37.5,46.773502691896255,4-37,4,8.972626614896427,2
0.5m,refined,labeled_corridor_result_refined_g0p5.json,9,-38.5,48.773502691896255,4-37,4,1.548157698977974,1
0.5m,refined,labeled_corridor_result_refined_g0p5.json,10,-42.0,56.273502691896255,4-36,4,9.678260053133897,2
0.5m,refined,labeled_corridor_result_refined_g0p5.json,11,-46.5,62.773502691896255,5-47,5,1.0050860052541566,1
0.5m,refined,labeled_corridor_result_refined_g0p5.json,12,-48.5,65.77350269189625,5-47,5,9.727578551401592,2
0.5m,refined,labeled_corridor_result_refined_g0p5.json,13,-50.5,70.27350269189625,5-46,5,0.0,0
0.5m,refined,labeled_corridor_result_refined_g0p5.json,14,-52.5,74.77350269189625,5-46,5,12.29134876286659,3
0.5m,refined,labeled_corridor_result_refined_g0p5.json,15,-58.0,82.27350269189625,6-57,6,11.236944259344796,3
0.5m,refined,labeled_corridor_result_refined_g0p5.json,16,-61.5,89.77350269189625,6-56,6,1.548157698977974,1
0.5m,refined,labeled_corridor_result_refined_g0p5.json,17,-62.5,91.77350269189625,6-56,6,8.972626614896427,2
0.5m,refined,labeled_corridor_result_refined_g0p5.json,18,-65.0,95.27350269189625,7-67,7,0.0,0
0.5m,refined,labeled_corridor_result_refined_g0p5.json,19,-67.5,98.77350269189625,7-67,7,8.972626614896427,2
0.5m,refined,labeled_corridor_result_refined_g0p5.json,20,-68.5,100.77350269189625,7-67,7,1.548157698977974,1
0.5m,refined,labeled_corridor_result_refined_g0p5.json,21,-72.0,108.27350269189625,7-66,7,9.975126720458604,2
0.5m,refined,labeled_corridor_result_refined_g0p5.json,22,-75.5,113.27350269189625,8-77,8,0.0,0
0.5m,refined,labeled_corridor_result_refined_g0p5.json,23,-79.0,118.27350269189625,8-77,8,13.954509173136842,3
0.5m,refined,labeled_corridor_result_refined_g0p5.json,24,-81.5,124.77350269189625,8-76,8,13.342833698422993,3
0.5m,refined,labeled_corridor_result_refined_g0p5.json,25,-88.0,134.27350269189625,9-87,9,12.578935237493027,3
0.5m,refined,labeled_corridor_result_refined_g0p5.json,26,-89.0,136.77350269189625,9-87,9,14.270348296817076,3
0.5m,refined,labeled_corridor_result_refined_g0p5.json,27,-90.0,144.33756729740642,9-86,9,,
0.3m,refined,labeled_corridor_result_refined_g0p3.json,0,-10.0,5.773502691896257,1-6,1,,
0.3m,refined,labeled_corridor_result_refined_g0p3.json,1,-17.299999999999997,11.573502691896255,2-17,2,26.33101304237732,6
0.3m,refined,labeled_corridor_result_refined_g0p3.json,2,-22.10000000000001,21.773502691896258,2-16,2,9.391165042034885,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,3,-28.10000000000001,30.473502691896254,3-27,3,9.687519879414879,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,4,-32.0,38.873502691896256,3-26,3,8.785298717884814,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,5,-33.2,40.67350269189625,3-26,3,1.4906318352625476,1
0.3m,refined,labeled_corridor_result_refined_g0p3.json,6,-37.5,46.773502691896255,4-37,4,9.558703416635126,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,7,-42.2,56.57350269189625,4-36,4,8.970292742902842,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,8,-48.2,65.27350269189625,5-47,5,9.817148118678006,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,9,-50.0,69.17350269189625,5-47,5,0.42598307664420076,1
0.3m,refined,labeled_corridor_result_refined_g0p3.json,10,-52.4,74.27350269189625,5-46,5,9.790896553083655,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,11,-54.5,77.27350269189625,5-46,5,0.0,0
0.3m,refined,labeled_corridor_result_refined_g0p3.json,12,-56.6,80.27350269189625,6-57,6,0.0,0
0.3m,refined,labeled_corridor_result_refined_g0p3.json,13,-58.0,82.27350269189625,6-57,6,9.699999041537296,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,14,-62.300000000000004,91.37350269189625,6-56,6,9.8037956300048,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,15,-67.5,98.77350269189625,7-67,7,8.530765609948133,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,16,-68.5,100.77350269189625,7-67,7,1.548157698977974,1
0.3m,refined,labeled_corridor_result_refined_g0p3.json,17,-72.0,108.27350269189625,7-66,7,9.975126720458604,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,18,-75.5,113.27350269189625,8-77,8,0.0,0
0.3m,refined,labeled_corridor_result_refined_g0p3.json,19,-77.6,116.27350269189625,8-77,8,9.28206641774733,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,20,-81.5,124.37350269189625,8-76,8,0.8550973962675528,1
0.3m,refined,labeled_corridor_result_refined_g0p3.json,21,-82.4,126.17350269189626,8-76,8,8.02723751043203,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,22,-88.4,134.87350269189625,9-87,9,16.157339864588238,4
0.3m,refined,labeled_corridor_result_refined_g0p3.json,23,-88.7,135.77350269189625,9-87,9,9.803510493534162,2
0.3m,refined,labeled_corridor_result_refined_g0p3.json,24,-90.0,144.33756729740642,9-86,9,,
